Fecha de visita,Empresa,Planta,Pa铆s,Ciudad,Tipo de equipo,Pedido,Material,Causa de desgaste,"Si escogi贸 otros, cu谩l?",Escoja el desgaste donde se presenta,Tipo de cadena,Referencia cadena,Medida referencia de control desgaste nueva en mm (CADENA),Medida referencia control de desgaste actual en mm (CADENA),Porcentaje de elongaci贸n actual % (CADENA),Porcentaje de elongaci贸n m谩x % (CADENA),Proyecci贸n en horas de operaci贸n restantes (H) (CADENA),Medida sin desgaste en mm (BUJE),Medida actual en mm1 (BUJE),Porcentaje de desgaste actual % (BUJE),Medida sin desgaste en mm1 (PASADOR),Medida actual en mm (PASADOR),Porcentaje de desgaste actual % (PASADOR),Medida sin desgaste en mm2 (RODILLO),Medida actual en mm2 (RODILLO),Porcentaje de desgaste actual % (RODILLO),Altura de la platina en mm,Medida actual de la platina en mm (PLATINA),Porcentaje de desgaste actual % (PLATINA),Paso en mm,Cantidad de pasos,Falla,Valor
12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
12/05/2022,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongaci贸n prematura;Desalineaci贸n;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,,,,,,63.5,63.3,0.31,,,,,,,,,,,,Desgaste,0.31
02/01/2023,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,28508,CARB脫N GRANULADO,Otros,OXIDACI脫N,Buje cadena;Platina Externa;Platina Interna;Pasador cadena,"CDNA FB 956-K24-C2-P6""",FB 956,,,,,,,,,25.4,24.6,3.25,,,,,,,,,Desgaste,3.25
02/01/2023,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,28508,CARB脫N GRANULADO,Otros,OXIDACI脫N,Buje cadena;Platina Externa;Platina Interna;Pasador cadena,"CDNA FB 956-K24-C2-P6""",FB 956,,,,,,25.9,26.05,0.58,,,,,,,,,,,,Desgaste,0.58
07/08/2023,ARGOS,ZONA FRANCA,COLOMBIA,CARTAGENA,Elevador cangilones,29137,CLINKER,Desalineaci贸n;Cavitaci贸n seca;Otros,MALAS PR脕CTICA DEL CLIENTE,Platina Interna;Pasador cadena,ER 857-K44,ER 857,,0.22,0.22,2.5,,,,,,,,,,,,,,,,Elongaci髇,0.22
2/21/2022,ARGOS,PAZ DEL RIO,COLOMBIA,BOYACA,Elevador cangilones,26046,CEMENTO,,TIEMPO DE TRABAJO,Platina Interna;Buje cadena;Pasador cadena,"CDNA FB 864-K443-C2-P7""",FB 864,,,,,,,,,31.75,29,9.48,,,,,,,,,Desgaste,9.48
06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,28914,CLINKER,Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,,,,,,,,,50,50,0,,,,,,,,,Desgaste,0
4/28/2022,HOLCIM,NOBSA,COLOMBIA,BOYACA,Reclamador y apilador,26425,PIEDRA CALIZA,Elongaci贸n prematura;Otros,COLISI脫N CON GU脥AS,Platina Interna;Platina Externa;Rodillo,CDNA FB 311-TK1-C2-P250,FB425,,,,,,100.05,97.75,2.3,,,,,,,,,,,,Desgaste,2.3
2/21/2022,ARGOS,PAZ DEL RIO,COLOMBIA,BOYACA,Elevador cangilones,26046,CEMENTO,,TIEMPO DE TRABAJO,Platina Interna;Buje cadena;Pasador cadena,"CDNA FB 864-K443-C2-P7""",FB 864,,,,,,32.7,33,0.92,,,,,,,,,,,,Desgaste,0.92
06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,28914,CLINKER,Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,,,,,,50.6,50.6,0,,,,,,,,,,,,Desgaste,0
12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27758,CEMENTO,Otros,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,CDNA FB-SJM-984,FB-SJM-984,,,,,,62,62.2,0.32,,,,,,,,,,,,Desgaste,0.32
03/10/2023,HOLCIM,TECOM脕N,MEXICO,COLIMA,Elevador cangilones,30020,CEMENTO,Cavitaci贸n seca,,Buje cadena,"CDNA ELEVADOR FB 984-K443-C2-P7""",FB 984,,,0.11,2.5,40000,,,,,,,,,,,,,,,Elongaci髇,0.11
05/11/2023,CEMEX,CALZADA LARGA,PANAM脕,CAIMITILLO,Elevador cangilones,29830,COMBUSTIBLES ALTERNOS,Velocidad incorrecta;Desalineaci贸n,,Pasador cadena,CDNA FB 833-K2-C3-P6,FB 833,,,,,,19.65,20.85,6.11,,,,,,,,,,,,Desgaste,6.11
5/30/2023,INGENIO MANUELITA,COLOMBIA,COLOMBIA,CALI,Tansportador de tablilla,26033,CA脩A,,Tiempo de uso,N/A;Pasador cadena,"CDNA FB 2648-P12""",FB 2648,304.8,1524,1.77,2.1,,,,5.755395683,,,,,,,,,,,,Elongaci髇,1.77
06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitaci贸n seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,2133.6,2141,0.34,2.2,11400,,,,,,,,,,,,,,,Elongaci髇,0.34
5/30/2023,INGENIO MANUELITA,COLOMBIA,COLOMBIA,CALI,Tansportador de tablilla,26033,CA脩A,,Tiempo de uso,N/A;Pasador cadena,"CDNA FB 2648-P12""",FB 2648,,,,,,,,,36.95,35.2,4.97,,,,,,,,,Desgaste,4.97
