ConsecutivoOP,ConsecPedido,Cliente,Producto,NombProducto,OCCliente,Actividad,RecMAQ,RecHOM,SecAct,FechEstInicil,estado,TipoConsecutivo,Fecha de visita,Empresa,Planta,Pa铆s,Ciudad,Tipo de equipo,Pedido N掳,Material,Causa de desgaste,"Si escogi贸 otros, cu谩l?",Escoja el desgaste donde se presenta,Tipo de cadena,Referencia cadena,Medida referencia de control desgaste nueva en mm (CADENA),Medida referencia control de desgaste actual en mm (CADENA),Porcentaje de elongaci贸n actual % (CADENA),Porcentaje de elongaci贸n m谩x % (CADENA),Proyecci贸n en horas de operaci贸n restantes (H) (CADENA),Medida sin desgaste en mm (BUJE),Medida actual en mm1 (BUJE),Porcentaje de desgaste actual % (BUJE),Medida sin desgaste en mm1 (PASADOR),Medida actual en mm (PASADOR),Porcentaje de desgaste actual % (PASADOR),Medida sin desgaste en mm2 (RODILLO),Medida actual en mm2 (RODILLO),Porcentaje de desgaste actual % (RODILLO),Altura de la platina en mm,Medida actual de la platina en mm (PLATINA),Porcentaje de desgaste actual % (PLATINA),Paso en mm,Cantidad de pasos,Falla,Valor
76788,29830,4.31E+12,PD0002567A,BUJE 脴E36.6脴I19.65X85 EC,4522821655,CORT,MEGAS,CORTAR,1,5/30/2023 0:00,FI,FBORP,05/11/2023,CEMEX,CALZADA LARGA,PANAM脕,CAIMITILLO,Elevador cangilones,29830,COMBUSTIBLES ALTERNOS,Velocidad incorrecta;Desalineaci贸n,,Pasador cadena,CDNA FB 833-K2-C3-P6,FB 833,,,,,,19.65,20.85,6.11,,,,,,,,,,,,Desgaste,6.11
63177,26033,891300241,1ACI000008,"CDNA FB 2648-P12""-T0",3300190163:,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,8,12/17/2020 0:00,FI,FBORP,5/30/2023,INGENIO MANUELITA,COLOMBIA,COLOMBIA,CALI,Tansportador de tablilla,26033,CA脩A,,Tiempo de uso,N/A;Pasador cadena,"CDNA FB 2648-P12""",FB 2648,304.8,1524,1.77,2.1,,,,,,,,,,,,,,,,Elongaci髇,1.77
68003,27587,CAP821208LQ3,PD0001788,"CDNA ELEV FB 994-K443-C2-P7""",8400004593,INSP,BANCO DE TRABAJO CALIDAD,CALIDAD,8,01/06/2022 00:00,FI,FBORP,06/07/2024,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitaci贸n seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,2133.6,2141,0.34,2.2,11400,,,,,,,,,,,,,,,Elongaci髇,0.34
63178,26033,891300241,1ACI010006,PASADOR 44.4X42X201 CP/PERF,3300190163:,CORT,MEGAS,CORTAR,1,12/17/2020 0:00,FI,FBORP,5/30/2023,INGENIO MANUELITA,COLOMBIA,COLOMBIA,CALI,Tansportador de tablilla,26033,CA脩A,,Tiempo de uso,N/A;Pasador cadena,"CDNA FB 2648-P12""",FB 2648,,,,,,,,,36.95,35.2,4.97,,,,,,,,,Desgaste,4.97
65430,26765,860009808,30351506,"CDNA FB-984 ADIT K443-C2-P7""",4530313020,PINA1,BANCO DE TRABAJO ENSAMBLE,PRODUCTO TERMINADO,4,07/01/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongaci贸n prematura;Desalineaci贸n;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,177.8,178.44,0.36,2.2,28624,,,,,,,,,,,,,,,Elongaci髇,0.36
58245,24723,860009808,30351506,"CDNA FB-984 ADIT K443-C2-P7""",4530307685,ENSA1,PRENSA EBU,FORJADO,2,12/13/2019 0:00,FI,FBORP,7/27/2021,HOLCIM COLOMBIA,HOLCIM COLOMBIA - NOBSA,COLOMBIA,NOBSA,Elevador cangilones,24723,CLINKER,Medidas fuera de especificaci贸n,,Platina Interna;Pasador cadena,"CDNA FB 984 ADIT K443-C2-P7""",FB 984 ,,12.6,0.88,1.23,9988,,,,,,,,,,,,,,,Elongaci髇,0.88
67141,27380,860009808,30321162J,PTNA INT ADIT 9.5X152X349-SOLD,E-MAIL 02/11/2021,LIMP1,BANCO DE TRABAJO SOLDADURA,SOLDADURA,3,11/04/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongaci贸n prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,,,,,,,,,,,,,,,350,349,0.286,250,6,Desgaste,0.286
65434,26765,860009808,30351506D,PTNA EXT ADIT16X122.2X271 -90掳,4530313020,CORT4,OXICORTE Y PLASMA,CORTAR,1,07/02/2021 00:00,FI,FBORP,12/05/2022,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongaci贸n prematura;Desalineaci贸n;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,,,,,,,,,,,,,,,102,101,0.98,177.8,6,Desgaste,0.98
63189,26033,891300241,1ACI010005,PASADOR 44.4X41X296.9 CP/RAN,3300190163:,CENT,CENTRADORAS,MECANIZADO,2,12/17/2020 0:00,FI,FBORP,5/30/2023,INGENIO MANUELITA,COLOMBIA,COLOMBIA,CALI,Tansportador de tablilla,26033,CA脩A,,Tiempo de uso,N/A;Pasador cadena,"CDNA FB 2648-P12""",FB 2648,,,,,,,,,36.95,35.2,4.97,,,,,,,,,Desgaste,4.97
63244,26046,890100251,1018018,"CDNA FB 864-K443-C2-P7""",4500851751:,ENSA,PRENSA ENSAMBLES,FORJADO,1,12/22/2020 0:00,FI,FBORP,2/21/2022,ARGOS,PAZ DEL RIO,COLOMBIA,BOYACA,Elevador cangilones,26046,CEMENTO,,TIEMPO DE TRABAJO,Platina Interna;Buje cadena;Pasador cadena,"CDNA FB 864-K443-C2-P7""",FB 864,177.8,178.47,0.38,2.2,,,,,,,,,,,,,,,,Elongaci髇,0.38
